,AMZN,GME,GOOG,JPM,SPY,XOM
2005-12-09,2.437,2.8573,,24.4638,89.2504,32.0644
2005-12-12,2.454,2.8742,,24.4826,89.3352,32.2617
2005-12-13,2.475,2.7698,,24.6452,89.9427,32.3713
2005-12-14,2.471,2.7706,,24.7327,90.296,32.8098
2005-12-15,2.474,2.6604,,24.7515,90.0346,32.607
2005-12-16,2.461,2.6545,,24.8828,89.7445,31.8232
2005-12-19,2.419,2.5981,,24.764,89.2829,31.6259
2005-12-20,2.407,2.5628,,24.764,89.3681,31.752
2005-12-21,2.449,2.5914,,24.9078,89.5101,31.5711
2005-12-22,2.461,2.5703,,25.0454,89.9789,31.297
2005-12-23,2.461,2.5779,,25.1392,90.0286,31.297
2005-12-27,2.428,2.5981,,25.0767,89.1124,30.6229
2005-12-28,2.403,2.6528,,24.9579,89.3113,30.8312
2005-12-29,2.4,2.673,,24.9266,88.9136,30.8257
2005-12-30,2.358,2.6781,,24.8203,88.4306,30.7873
2006-01-03,2.379,2.7193,,25.133,89.986,32.048
2006-01-04,2.363,2.8152,,24.9879,90.4121,32.1028
2006-01-05,2.383,3.1401,,25.0636,90.469,31.9438
2006-01-06,2.394,3.2419,,25.2402,91.2218,32.5741
2006-01-09,2.354,3.226,,25.6501,91.4562,32.5577
2006-01-10,2.283,3.2571,,25.688,91.5485,32.8098
2006-01-11,2.247,3.2975,,25.6691,91.8397,33.0346
2006-01-12,2.218,3.2436,,25.196,91.4775,32.6892
2006-01-13,2.22,3.2268,,25.1771,91.3923,33.4182
2006-01-17,2.2,3.2209,,25.0447,91.1437,33.7307
2006-01-18,2.216,3.2032,,24.7735,90.7815,33.2593
2006-01-19,2.223,3.2563,,24.6347,91.1295,33.7087
2006-01-20,2.196,3.2083,,23.9977,89.4675,33.1771
2006-01-23,2.186,3.2066,,24.1365,89.7871,33.5443
2006-01-24,2.201,3.2066,,24.0356,89.8795,33.4127
2006-01-25,2.18,3.2243,,24.2689,89.9576,33.0017
2006-01-26,2.234,3.2588,,24.969,90.4547,32.8592
2006-01-27,2.261,3.2941,,25.0699,91.2928,33.5936
2006-01-30,2.248,3.3286,,25.133,91.2218,34.5912
2006-01-31,2.241,3.3926,,25.0699,90.5542,34.3939
2006-02-01,2.199,3.5508,,25.1519,91.1863,33.9554
2006-02-02,2.137,3.5399,,25.2213,90.128,33.9554
2006-02-03,1.916,3.5828,,24.9312,89.6806,33.6484
2006-02-06,1.898,3.6274,,24.8744,89.915,33.9663
2006-02-07,1.876,3.5256,,24.7609,89.1195,33.188
2006-02-08,1.909,3.5138,,24.9753,89.9292,33.2762
2006-02-09,1.9,3.4052,,25.0825,89.78,33.0172
2006-02-10,1.926,3.4069,,25.1771,89.9434,32.7472
2006-02-13,1.893,3.3825,,25.0825,89.78,32.8409
2006-02-14,1.913,3.4111,,25.2907,90.7317,32.8133
2006-02-15,1.963,3.4195,,25.4294,91.0513,32.929
2006-02-16,1.958,3.5096,,25.7447,91.7332,33.199
2006-02-17,1.959,3.4633,,25.7195,91.4846,33.3644
2006-02-21,1.914,3.4094,,25.6691,91.2573,33.4801
2006-02-22,1.936,3.454,,26.1169,91.8113,33.2046
2006-02-23,1.895,3.3631,,25.9276,91.6763,32.9676
2006-02-24,1.918,3.3707,,26.2745,91.9107,33.2927
2006-02-27,1.9,3.3867,,26.2241,91.9462,33.0172
2006-02-28,1.872,3.369,,25.9466,91.0726,32.7141
2006-03-01,1.856,3.449,,26.2556,91.8823,33.2486
2006-03-02,1.844,3.3918,,26.2745,91.8752,33.5297
2006-03-03,1.861,3.4507,,26.2304,91.4491,33.6013
2006-03-06,1.843,3.433,,26.1295,91.03,33.0503
2006-03-07,1.847,3.3615,,26.161,90.888,32.9786
2006-03-08,1.841,3.2613,,26.2367,91.0798,32.9015
2006-03-09,1.806,3.2192,,25.8898,90.469,32.4662
2006-03-10,1.811,3.2655,,25.9403,91.3283,32.6095
2006-03-13,1.81,3.2924,,25.8961,91.4988,32.8629
2006-03-14,1.846,3.4035,,26.0979,92.4576,33.5076
